date,time,home,away,location,duration
3/9/2023,7:00 PM,F2 - Saenz,La Vernia,Floresville Sports Complex - Emergency Care of Floresville,90
3/10/2023,7:00 PM,F1 - Neff,New Braunfels 2,Floresville Sports Complex - Emergency Care of Floresville,90
3/20/2023,7:00 PM,La Vernia,F1 - Neff,La Vernia - A Field,90
3/25/2023,7:00 PM,F2 - Saenz,F1 - Neff,Floresville Sports Complex - Emergency Care of Floresville,90
3/27/2023,7:00 PM,La Vernia,F2 - Saenz,La Vernia - A Field,90
3/30/2023,7:00 PM,F1 - Neff,La Vernia,Floresville Sports Complex - Emergency Care of Floresville,90
3/31/2023,7:00 PM,F2 - Saenz,New Braunfels 1,Floresville Sports Complex - Emergency Care of Floresville,90
4/6/2023,7:00 PM,La Vernia,F2 - Saenz,La Vernia - A Field,90
4/10/2023,7:00 PM,F2 - Saenz,F1 - Neff,Floresville Sports Complex - Emergency Care of Floresville,90
4/15/2023,10:00 AM,New Braunfels 2,F2 - Saenz,New Braunfels - Field 5,90
4/15/2023,12:00 PM,New Braunfels 1,F2 - Saenz,New Braunfels - Field 5,90
4/15/2023,2:00 PM,New Braunfels 1,F1 - Neff,New Braunfels - Field 5,90
4/17/2023,7:00 PM,La Vernia,F1 - Neff,La Vernia - A Field,90
4/21/2023,7:00 PM,F1 - Neff,New Braunfels 1,Floresville Sports Complex - Emergency Care of Floresville,90
4/28/2023,7:00 PM,F2 - Saenz,La Vernia,Floresville Sports Complex - Emergency Care of Floresville,90
5/5/2023,7:00 PM,F1 - Neff,La Vernia,Floresville Sports Complex - Emergency Care of Floresville,90
